episode_number,title,published,episode_url,transcript_available,transcript_file,transcript_source
163,163. What place do tactile cues have post-pandemic? With Kyle Marsh and Raphael Bender,"3rd August, 2023",https://pilates-elephants.breathe-education.com/episode/tactile-cues-,no,,
164,164. Are your upper traps really overactive? With Raphael Bender,"6th August, 2023",https://pilates-elephants.breathe-education.com/episode/are-your-upper-traps-really-overactive,no,,
165,"165. Why doesn’t anyone talk about money in Pilates, with Raphael Bender","10th August, 2023",https://pilates-elephants.breathe-education.com/episode/why-doesnt-anyone-talk-about-money-in-pilates,no,,
166,"166. The Shortest Cadillac Certification in the History Of Pilates, with Adam McAtee and Raphael Bender","13th August, 2023",https://pilates-elephants.breathe-education.com/episode/shortest-cadillac-certification,no,,
167,"167. Dealing with Haters, Both Real And Imaginary, with Raphael Bender","17th August, 2023",https://pilates-elephants.breathe-education.com/episode/dealing-with-haters,no,,
168,"168. Bringing Pilates instructors and studios together, with Hannah McMullen and Raphael Bender","20th August, 2023",https://pilates-elephants.breathe-education.com/episode/bringing-pilates-instructors-and-studios-together,no,,
169,"169. Why stability is not a useful word in Pilates, with Raphael Bender","24th August, 2023",https://pilates-elephants.breathe-education.com/episode/why-stability-is-not-a-useful-word-in-pilates,no,,
170,"170.  How to get off the busyness treadmill, with Raphael Bender","27th August, 2023",https://pilates-elephants.breathe-education.com/episode/how-to-get-off-the-busyness-treadmill,no,,
171,"171. How to collect compelling testimonials from your Pilates clients, with Raphael Bender","31st August, 2023",https://pilates-elephants.breathe-education.com/episode/how-to-collect-compelling-testimonials,no,,
172,"172. There are no solutions only trade-offs, with Raphael Bender","3rd September, 2023",https://pilates-elephants.breathe-education.com/episode/there-are-no-solutions-only-trade-offs,no,,
173,"173. How to massively simplify your thinking about movement, with Raphael Bender","7th September, 2023",https://pilates-elephants.breathe-education.com/episode/how-to-massively-simplify-your-thinking-about-movement,no,,
174,"174. New research on diastasis and curl ups, with Raphael Bender","10th September, 2023",https://pilates-elephants.breathe-education.com/episode/new-research-on-diastasis-and-curl-ups,no,,
175,"175. Part 1: Give yourself permission to become a more authentic version of yourself, with Nathan Ross Rees","14th September, 2023",https://pilates-elephants.breathe-education.com/episode/authentic-version-of-yourself,no,,
176,"176. Part 2: Give yourself permission to become a more authentic version of yourself, with Nathan Ross Rees","17th September, 2023",https://pilates-elephants.breathe-education.com/episode/authentic-version-of-yourself-part-2,no,,
177,177. Which style of Pilates is most beneficial? With Raphael Bender,"21st September, 2023",https://pilates-elephants.breathe-education.com/episode/which-style-of-pilates-is-most-beneficial,no,,
178,178. Is Lagree Pilates? With Raphael Bender,"24th September, 2023",https://pilates-elephants.breathe-education.com/episode/is-lagree-pilates,no,,
179,179. Are we all Pilates cows? with Natalie Wilson and Raphael Bender,"28th September, 2023",https://pilates-elephants.breathe-education.com/episode/are-we-all-pilates-cows,no,,
180,"180. How to hire and lead superstar Pilates instructors, with Raphael Bender","1st October, 2023",https://pilates-elephants.breathe-education.com/episode/hire-and-lead-superstar-pilates-instructors,no,,
181,"181. How to use email marketing to get more clients, with Raphael Bender","5th October, 2023",https://pilates-elephants.breathe-education.com/episode/how-to-use-email-marketing-to-get-more-clients,no,,
182,182. Can Pilates change posture? With Natalie Wilson and Raphael Bender,"8th October, 2023",https://pilates-elephants.breathe-education.com/episode/can-pilates-change-posture,no,,
183,"183. How to tell if your mindset is holding you back, with Raphael Bender","12th October, 2023",https://pilates-elephants.breathe-education.com/episode/how-to-tell-if-your-mindset-is-holding-you-back,no,,
184,"184. Loneliness of the long distance Pilates instructor, with Natalie Wilson and Raphael Bender","15th October, 2023",https://pilates-elephants.breathe-education.com/episode/loneliness-of-the-long-distance-pilates-instructor,no,,
185,"185. The 80-20 of Pilates teaching, with Raphael Bender","19th October, 2023",https://pilates-elephants.breathe-education.com/episode/the-80-20-of-pilates-teaching,no,,
186,"186. Build your own confidence, with Sandi Ariyanti and Raphael Bender","22nd October, 2023",https://pilates-elephants.breathe-education.com/episode/build-your-own-confidence,no,,
